noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
stonecutter,5.72,1.22,5.59,1.19,5.86,1.26,5.9,-0.97,5.75,-1.25,5.83,-1.11
stripper,2.0,1.27,2.2,1.46,1.79,1.02,2.3,-1.17,2.1,-1.33,2.2,-1.25
student,4.05,0.61,4.0,0.72,4.1,0.48,4.0,0.0,4.05,-0.51,4.03,-0.26
studentbodypresident,4.26,0.84,4.34,0.99,4.17,0.66,NA,NA,NA,NA,NA,NA
stylist,2.4,1.22,2.59,1.3,2.19,1.11,NA,NA,NA,NA,NA,NA
sunbather,3.0,1.17,3.3,1.17,2.69,1.09,1.95,-0.76,1.95,-0.83,1.95,-0.79
supervisor,4.55,1.04,4.77,1.01,4.31,1.02,4.4,-0.75,5.0,-0.97,4.7,-0.86
supremecourtjustice,NA,NA,NA,NA,NA,NA,5.0,-1.08,5.55,-1.15,5.28,-1.11
surfer,5.17,1.02,5.09,1.07,5.26,0.96,5.65,-0.93,5.35,-1.27,5.5,-1.1
surgeon,4.88,1.16,4.95,1.31,4.81,0.99,4.9,-1.07,5.25,-1.12,5.08,-1.1
suspect,5.02,1.15,5.14,1.19,4.9,1.1,4.95,-1.0,5.0,-1.08,4.97,-1.04
swimmer,4.12,0.85,4.25,0.97,3.98,0.68,3.9,-0.55,4.05,-1.0,3.97,-0.78
switchboardoperator,2.77,1.33,3.16,1.38,2.36,1.16,3.15,-1.04,3.25,-1.41,3.2,-1.23
synchronizedswimmer,2.78,1.51,2.77,1.54,2.79,1.51,2.6,-1.1,2.0,-0.97,2.3,-1.04
systemsanalyst,4.74,1.04,4.91,1.14,4.57,0.91,4.6,-1.1,4.9,-0.85,4.75,-0.98
tailor,4.63,1.41,4.57,1.3,4.69,1.54,4.8,-1.74,5.25,-1.55,5.03,-1.65
talkshowhost,4.44,1.25,4.52,1.25,4.36,1.27,NA,NA,NA,NA,NA,NA
tambourineplayer,3.59,1.15,3.5,1.0,3.69,1.3,4.1,-1.55,3.6,-1.05,3.85,-1.3
tapdancer,3.28,1.42,3.05,1.46,3.52,1.35,2.35,-1.18,2.95,-1.28,2.65,-1.23
tarotcardreader,2.38,1.29,2.41,1.28,2.36,1.32,2.75,-1.29,2.1,-0.91,2.42,-1.1
tattooist,5.06,1.06,4.93,1.15,5.19,0.94,6.05,-1.0,6.0,-0.92,6.03,-0.96
taxidermist,5.31,1.15,5.23,1.2,5.4,1.11,5.1,-1.07,5.47,-1.17,5.29,-1.12
teachingassistant,3.15,1.07,3.25,1.1,3.05,1.03,NA,NA,NA,NA,NA,NA
teenager,4.07,0.7,4.11,0.84,4.02,0.52,4.0,-0.32,4.1,-0.31,4.05,-0.32
telemarketer,3.87,1.08,3.98,1.11,3.76,1.05,NA,NA,NA,NA,NA,NA
telephoneoperator,2.92,1.37,3.07,1.28,2.76,1.45,2.85,-1.04,2.7,-0.92,2.78,-0.98
tennisplayer,4.21,0.77,4.16,0.81,4.26,0.73,3.85,-0.75,3.9,-0.85,3.88,-0.8
terrorist,5.76,1.23,5.61,1.24,5.9,1.21,NA,NA,NA,NA,NA,NA
theatricaldirector,4.33,1.07,4.25,1.04,4.4,1.11,4.4,-1.39,4.7,-1.63,4.55,-1.51
thief,5.15,1.14,5.2,1.11,5.1,1.19,5.15,-0.75,5.1,-1.07,5.12,-0.91
toddler,4.06,0.67,4.16,0.57,3.95,0.76,4.0,0.0,4.05,-0.39,4.03,-0.2
toolmaker,5.45,1.09,5.39,1.15,5.52,1.04,6.15,-0.88,6.3,-0.98,6.22,-0.93
tourguide,3.97,1.09,4.0,1.03,3.93,1.16,4.0,-0.79,3.95,-1.0,3.98,-0.9
tourist,4.01,0.74,4.11,0.72,3.9,0.76,NA,NA,NA,NA,NA,NA
travelagent,3.43,1.16,3.77,1.16,3.07,1.07,3.25,-1.41,2.95,-1.23,3.1,-1.32
trucker,5.84,1.2,5.61,1.35,6.07,0.97,6.4,-0.88,6.15,-0.88,6.28,-0.88
trumpetplayer,5.02,1.14,4.77,1.12,5.29,1.11,4.65,-1.14,4.95,-0.94,4.8,-1.04
tubaplayer,5.15,1.11,4.91,1.01,5.4,1.17,5.35,-1.14,5.5,-1.19,5.42,-1.17
tutor,3.8,0.96,3.91,1.12,3.69,0.75,NA,NA,NA,NA,NA,NA
tvwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
typist,2.81,1.36,3.14,1.29,2.48,1.37,2.95,-0.83,2.47,-1.12,2.71,-0.98
universitypresident,5.17,1.0,5.09,0.96,5.26,1.04,5.3,-1.17,5.55,-1.32,5.42,-1.25
vegan,3.44,0.95,3.39,1.06,3.5,0.83,NA,NA,NA,NA,NA,NA
vegetarian,3.42,0.93,3.39,0.92,3.45,0.94,NA,NA,NA,NA,NA,NA
veteran,5.38,1.13,5.3,1.21,5.48,1.04,NA,NA,NA,NA,NA,NA
veterinarian,NA,NA,NA,NA,NA,NA,4.05,-1.1,3.65,-1.39,3.85,-1.25
victim,3.44,1.09,3.64,0.99,3.24,1.16,2.95,-1.0,2.95,-1.1,2.95,-1.05
volunteer,3.78,0.87,3.91,0.8,3.64,0.93,NA,NA,NA,NA,NA,NA
waiter,5.51,1.55,5.23,1.6,5.81,1.47,5.1,-1.68,5.95,-1.43,5.53,-1.55
waitress,1.69,1.21,1.98,1.49,1.38,0.73,1.35,-0.93,1.4,-0.88,1.38,-0.91
warden,5.66,1.19,5.52,1.32,5.81,1.04,6.1,-0.85,6.3,-0.66,6.2,-0.76
watchman,5.88,1.12,5.66,1.22,6.12,0.97,6.0,-0.79,5.75,-0.97,5.88,-0.88
weaver,2.98,1.42,3.16,1.38,2.79,1.46,2.5,-0.89,2.1,-1.17,2.3,-1.03
weddingplanner,2.38,1.21,2.45,1.21,2.31,1.22,1.75,-0.72,2.2,-1.01,1.98,-0.86
weightlifter,5.77,1.09,5.64,1.18,5.9,0.98,6.2,-0.89,6.05,-1.05,6.12,-0.97
welder,5.87,1.19,5.8,1.36,5.95,0.99,6.1,-0.79,6.35,-0.88,6.22,-0.83
welldriller,5.78,1.36,5.36,1.6,6.21,0.87,6.35,-0.67,6.45,-0.6,6.4,-0.64
woodcarver,5.47,1.0,5.41,1.0,5.52,1.02,5.8,-1.11,5.7,-0.92,5.75,-1.02
woodworker,5.45,1.13,5.25,1.26,5.67,0.95,6.0,-0.92,5.6,-0.99,5.8,-0.96
wrestler,5.93,1.03,5.68,1.16,6.19,0.8,6.45,-0.76,6.7,-0.57,6.58,-0.67
writer,4.13,0.76,4.34,0.75,3.9,0.73,4.25,-0.97,4.05,-0.39,4.15,-0.68
xraytechnician,3.9,1.01,3.98,1.02,3.81,0.99,4.25,-1.16,4.25,-0.85,4.25,-1.0
yogainstructor,2.36,1.22,2.45,1.35,2.26,1.06,NA,NA,NA,NA,NA,NA
youngster,4.15,0.56,4.14,0.63,4.17,0.49,4.2,-0.52,4.35,-0.93,4.28,-0.73
zoologist,4.3,0.97,4.3,0.93,4.31,1.02,4.3,0.98,4.2,1.11,4.25,1.04
policeman,NA,NA,NA,NA,NA,NA,5.6,-1.1,5.55,-1.23,5.57,-1.17
rockbandroadie,NA,NA,NA,NA,NA,NA,4.5,-1.93,4.6,-2.04,4.55,-1.98
